signal,family,symbols,timeframe,passed,oos_sharpe,oos_total_return,oos_max_dd,oos_profit_factor,oos_win_rate,oos_trades,oos_cagr,oos_exposure,is_sharpe,wf_sharpe,wf_positive_windows,mc_dd_p05,mc_prob_loss,sens_retention,lag_sharpe,worst_regime_dd,deflated_prob,robustness_score,reject_reasons,best_params
bollinger_reversion,mean_reversion,TREND2,1h,False,3.3849605768304953,1.8040760067271129,-0.30580216048568454,3.0523492180573353,0.6666666666666666,63,11.300550777170855,1.0,0.8641232944787575,4.382057305475456,1.0,-0.5230863272878455,0.025,0.3929494400482614,3.3307929097357047,-0.3053794597839786,0.8941946046237355,76.16,OOS maxDD 30.6% > 25%; MC p05 drawdown 52.3% > 35%,"{'window': 40, 'n_std': 3.0}"
mtf_trend,trend,TREND3,1h,False,4.167465613122392,2.006942697266203,-0.26816946446564394,3.9936319397811633,0.3793103448275862,29,13.580121283390577,0.7013888888888888,0.9737000125357443,3.407997094104193,0.75,-0.35414703181992996,0.0025,0.28039930542823005,4.34718377037974,-0.15369169375604486,0.9480548938031942,76.04,OOS maxDD 26.8% > 25%; MC p05 drawdown 35.4% > 35%; param retention 0.28 < 0.3 (performance is a parameter spike),"{'htf_rule': '1D', 'htf_fast': 10, 'htf_slow': 30, 'ltf_fast': 30, 'ltf_slow': 50}"
squeeze_breakout,volatility,TREND3,1h,False,4.657938490494732,1.38002438061466,-0.10637667521591532,3.867596900591451,0.5714285714285714,28,7.252826207894232,0.38027777777777777,0.42748903729396365,2.9956695183595508,0.75,-0.25208052900585526,0.0,-0.17799860175028742,4.722358571776518,-0.13351949060818846,0.9913180078372481,75.69,param retention -0.18 < 0.3 (performance is a parameter spike),"{'bb_window': 20, 'squeeze_q': 0.15, 'rank_window': 200, 'channel': 10, 'hold': 48}"
tsmom,momentum,TREND4,1h,False,4.790558080038241,3.0499558621290888,-0.45047384517759925,8.981355035263785,0.25,32,29.098146020474235,1.0,2.6623438321623136,3.914232033444873,0.75,-0.4127067998645945,0.0025,0.4476339173883174,5.242900852432055,-0.2770790539634884,0.8828194198238297,73.93,OOS maxDD 45.0% > 25%; MC p05 drawdown 41.3% > 35%,"{'lookback': 720, 'vol_scale': True, 'vol_window': 50, 'target_vol': 0.01}"
trend_pullback,hybrid,TREND3,1h,False,4.193449928715198,2.414096130431877,-0.2493713788191918,4.084757542358585,0.7272727272727273,22,18.860866951409147,0.9425,1.2819874245849052,2.700352205273426,0.5,-0.40202324851654514,0.005,0.6647934751704437,4.330239862674473,-0.3214185413392332,0.9853902356279336,72.58,22 OOS trades < 25; MC p05 drawdown 40.2% > 35%,"{'fast': 50, 'slow': 200, 'bb_window': 20, 'n_std': 2.0, 'hold': 24}"
xsec_momentum,momentum,TREND1+TREND2+TREND3+TREND4,1h,False,2.1209861898140243,0.39697669417860815,-0.19693314668086515,1.6931153680878526,0.36363636363636365,88,1.2562737411922162,1.0,2.882802226539995,2.7271239851289315,1.0,-0.3401444789760799,0.11,0.7929200505261876,1.7543618177443552,-0.1811655171450427,0.42476467948265506,71.51,deflated P(SR>0) 0.42 < 0.8 (not distinguishable from luck over 962 trials),"{'lookback': 168, 'rebalance': 24, 'top_k': 2}"
regime_gated_trend,regime,TREND4,1h,False,3.5985639458971876,1.682887596583606,-0.49153025150866725,2.4504278655114415,0.37333333333333335,75,10.04644360399116,0.9302777777777778,1.7099572835239507,3.367746527380712,1.0,-0.4406367210559843,0.0275,0.0067350930406002785,3.5486945899397617,-0.22932763956264257,0.730530805699982,71.49,OOS maxDD 49.2% > 25%; MC p05 drawdown 44.1% > 35%; param retention 0.01 < 0.3 (performance is a parameter spike); deflated P(SR>0) 0.73 < 0.8 (not distinguishable from luck over 962 trials),"{'lookback': 336, 'adx_th': 15.0}"
sma_cross,trend,TREND4,1h,False,3.269963901902007,1.5268591556690865,-0.27006440741669635,2.7246791213384256,0.3548387096774194,31,8.547420343205015,1.0,2.6252534010638473,2.446648792646875,0.5,-0.4833193152698842,0.035,0.7170256697642853,3.4129450522408322,-0.2500816395217572,0.8692362348125258,70.98,OOS maxDD 27.0% > 25%; MC p05 drawdown 48.3% > 35%,"{'fast': 40, 'slow': 100, 'allow_short': True}"
relative_strength,momentum,TREND4,1h,False,2.9589383550317976,0.7330470463860488,-0.19949050603035656,1.9612702210464297,0.35135135135135137,111,2.8129986723437965,0.3811111111111111,0.33711086868096984,0.9822328287820462,0.75,-0.34695633183901314,0.05,-1.0,2.1560998076910187,-0.16647992965367553,0.8396128520703818,69.19,param retention -1.00 < 0.3 (performance is a parameter spike),"{'lookback': 72, 'rank_window': 500, 'upper_q': 0.8, 'lower_q': 0.15}"
tsmom,momentum,TREND2,1h,False,3.4861970987820556,1.8122123689820029,-0.265548327291772,13.140630526666023,0.4444444444444444,18,11.387605089910407,1.0,2.8332240451703488,4.281554406957013,0.75,-0.516254586425919,0.0225,0.45598173463402325,3.3132824515499877,-0.2791571716137351,0.6589647923029551,68.64,OOS maxDD 26.6% > 25%; 18 OOS trades < 25; MC p05 drawdown 51.6% > 35%; deflated P(SR>0) 0.66 < 0.8 (not distinguishable from luck over 962 trials),"{'lookback': 720, 'vol_scale': True, 'vol_window': 50, 'target_vol': 0.01}"
bollinger_reversion,mean_reversion,TREND4,1h,False,3.785907326517148,1.9822112379205126,-0.44597639767793695,2.7414948784828646,0.711864406779661,59,13.28995807163789,1.0,1.3430703027339634,1.4930626996527196,0.5,-0.4693756620556304,0.02,0.640130517997027,3.3859410833042514,-0.5135332614785342,0.8847613852802025,66.04,OOS maxDD 44.6% > 25%; MC p05 drawdown 46.9% > 35%; worst regime DD 51.4% > 35%,"{'window': 40, 'n_std': 3.0}"
break_of_structure,structure,TREND4,1h,False,2.8154337080838974,1.1786116599114749,-0.4095700663760006,1.9039195606230437,0.4,45,5.6547674782714346,0.9922222222222222,2.841691085410989,1.920556747850801,0.75,-0.5348496683676122,0.0825,0.5694650525498318,3.1615252236112035,-0.32523965124586707,0.5254999918554146,65.92,OOS maxDD 41.0% > 25%; MC p05 drawdown 53.5% > 35%; deflated P(SR>0) 0.53 < 0.8 (not distinguishable from luck over 962 trials),"{'confirm': 8, 'hold': 96}"
sma_cross,trend,TREND3,1h,False,3.2550123752498203,1.5820624630618845,-0.3555106290949194,3.0446854330208293,0.32,25,9.063080505964145,1.0,1.6977409503536718,2.4449849374293473,0.5,-0.49490192885705486,0.035,0.42971837229577176,3.0791514997507727,-0.3227780172770113,0.7734448021508088,64.43,OOS maxDD 35.6% > 25%; MC p05 drawdown 49.5% > 35%; deflated P(SR>0) 0.77 < 0.8 (not distinguishable from luck over 962 trials),"{'fast': 20, 'slow': 150, 'allow_short': True}"
squeeze_breakout,volatility,TREND4,1h,False,1.8776810819003567,0.41607810043251514,-0.26193927462350886,1.6668765023323349,0.5172413793103449,29,1.3321027869360238,0.45305555555555554,3.4306956854717896,1.8030965738964309,1.0,-0.4576747336326419,0.155,0.5831542622025881,1.9075076183607593,-0.1606263493775677,0.262607495251749,63.81,OOS maxDD 26.2% > 25%; MC p05 drawdown 45.8% > 35%; deflated P(SR>0) 0.26 < 0.8 (not distinguishable from luck over 962 trials),"{'bb_window': 20, 'squeeze_q': 0.15, 'rank_window': 200, 'channel': 20, 'hold': 48}"
regime_gated_reversion,regime,TREND1,1h,False,2.203120586880833,0.21606043685659815,-0.08796779851777825,2.08980191895972,0.7142857142857143,35,0.6098360946651658,0.05416666666666667,1.1395944760843844,1.8726720950289981,0.75,-0.19411185850820936,0.0975,-0.521629187717271,2.084352921633079,-0.06988045566317624,0.33723836130077467,63.01,param retention -0.52 < 0.3 (performance is a parameter spike); deflated P(SR>0) 0.34 < 0.8 (not distinguishable from luck over 962 trials),"{'window': 50, 'entry_z': 2.5, 'adx_th': 20.0}"
vol_exhaustion,mean_reversion,TREND3,1h,False,2.3019045095538786,0.26240085564436777,-0.12676389994613413,2.6471458246085544,0.75,12,0.7632550489519025,0.08888888888888889,-0.1658620445299164,0.986118745981621,0.5,-0.19580217962168328,0.115,0.0,3.0683598976442963,-0.1681629794974483,0.6180750332897714,61.48,12 OOS trades < 25; param retention 0.00 < 0.3 (performance is a parameter spike); deflated P(SR>0) 0.62 < 0.8 (not distinguishable from luck over 962 trials),"{'move_window': 12, 'move_z': 1.5, 'rv_ratio': 1.25, 'hold': 24}"
support_resistance,structure,TREND1,1h,False,2.9997176509405605,1.37789910581105,-0.5018556575943147,1.7462479394788066,0.6732673267326733,101,7.234900325923446,0.7491666666666666,-0.5298334186633918,2.039294244720772,0.5,-0.4797134425849013,0.0425,0.0,3.1934231108743383,-0.2848415962683082,0.9157562753815183,61.31,OOS maxDD 50.2% > 25%; MC p05 drawdown 48.0% > 35%; param retention 0.00 < 0.3 (performance is a parameter spike),"{'confirm': 8, 'tolerance': 0.002, 'hold': 24}"
tsmom,momentum,TREND3,1h,False,2.8186917593964824,1.0876522093641983,-0.31640827956488804,2.2010588884364415,0.2736842105263158,95,4.998614535855101,1.0,2.4903611077450853,2.111424980406051,0.5,-0.5113697471204034,0.075,0.32055413512268055,2.964619450597983,-0.2841539645658576,0.282382042292333,55.45,OOS maxDD 31.6% > 25%; MC p05 drawdown 51.1% > 35%; deflated P(SR>0) 0.28 < 0.8 (not distinguishable from luck over 962 trials),"{'lookback': 168, 'vol_scale': True, 'vol_window': 50, 'target_vol': 0.01}"
squeeze_breakout,volatility,TREND2,1h,False,1.5644162374189492,0.36070714724986797,-0.26062311816229644,1.5443003978243741,0.53125,32,1.1163352255167136,0.49472222222222223,1.8507160903661308,2.781490213888746,1.0,-0.45952979704527436,0.1725,0.326975779882191,0.9810817228447712,-0.21140346191843273,0.2819716441514019,54.82,OOS maxDD 26.1% > 25%; MC p05 drawdown 46.0% > 35%; deflated P(SR>0) 0.28 < 0.8 (not distinguishable from luck over 962 trials),"{'bb_window': 20, 'squeeze_q': 0.25, 'rank_window': 200, 'channel': 20, 'hold': 48}"
vol_regime_momentum,volatility,TREND4,1h,False,2.2399469537574173,0.5723469800296233,-0.41234160883748694,1.4364210329669873,0.5170454545454546,176,2.008850711857427,0.5283333333333333,0.5849575950950209,-1.4787613069866334,0.5,-0.39031929388740433,0.0975,0.007768343166219877,1.330775556488667,-0.16989550975693335,0.7359423622736041,54.02,OOS maxDD 41.2% > 25%; MC p05 drawdown 39.0% > 35%; param retention 0.01 < 0.3 (performance is a parameter spike); deflated P(SR>0) 0.74 < 0.8 (not distinguishable from luck over 962 trials),"{'lookback': 336, 'vol_window': 20, 'ref_window': 200, 'trade_in': 'low'}"
relative_value,stat_arb,TREND1+TREND2,1h,False,1.5861829854737308,0.20809575787406476,-0.21711365259255733,5.282064047608308,0.7857142857142857,14,0.5842929303882252,0.28555555555555556,0.14647313867058825,-0.6740382469137896,0.75,-0.2935963643327708,0.1725,-1.0,1.55085413671718,-0.16396835808764132,0.3405987401265894,52.79,14 OOS trades < 25; param retention -1.00 < 0.3 (performance is a parameter spike); deflated P(SR>0) 0.34 < 0.8 (not distinguishable from luck over 962 trials),"{'z_window': 400, 'entry_z': 2.5, 'exit_z': 0.5}"
liquidity_sweep,structure,TREND1,1h,False,2.175558034492783,0.9146588926829453,-0.3985050678046105,1.5502011710035088,0.6808510638297872,94,3.8597414527750553,0.9708333333333333,-1.9028774422534966,1.0398610215628243,0.5,-0.5610340837479006,0.095,0.0,2.5032719145918088,-0.22001795392811896,0.6593253313671468,52.17,OOS maxDD 39.9% > 25%; MC p05 drawdown 56.1% > 35%; param retention 0.00 < 0.3 (performance is a parameter spike); deflated P(SR>0) 0.66 < 0.8 (not distinguishable from luck over 962 trials),"{'confirm': 8, 'hold': 48}"
orderflow_proxy,structure,TREND2,1h,False,1.9235649250062137,0.5443713224170521,-0.2741514782847547,1.495568805004896,0.4492753623188406,69,1.8802056002430465,0.6244444444444445,1.033565985997608,1.0288846809943761,0.5,-0.5291457980706864,0.14,0.6838881105453437,2.4087506649851473,-0.27469193651069745,0.21374657196818014,51.04,OOS maxDD 27.4% > 25%; MC p05 drawdown 52.9% > 35%; deflated P(SR>0) 0.21 < 0.8 (not distinguishable from luck over 962 trials),"{'window': 40, 'entry_z': 1.0, 'exit_z': 0.25}"
relative_strength,momentum,TREND3,1h,False,1.9633121963561775,0.4781554082999575,-0.2867075221285389,1.8973579346994662,0.34210526315789475,76,1.5888108420714238,0.4647222222222222,1.6760028063790053,0.984299407991745,0.5,-0.40928288909078897,0.1075,0.06879107640546,1.6384255908779939,-0.16680873500916216,0.3499326878619527,50.66,OOS maxDD 28.7% > 25%; MC p05 drawdown 40.9% > 35%; param retention 0.07 < 0.3 (performance is a parameter spike); deflated P(SR>0) 0.35 < 0.8 (not distinguishable from luck over 962 trials),"{'lookback': 168, 'rank_window': 500, 'upper_q': 0.8, 'lower_q': 0.15}"
breakout_volume,trend,TREND4,1h,False,0.6451208227434333,0.021327816431333524,-0.036502570904137,inf,1.0,1,0.052708396214692366,0.008611111111111111,1.0922881033318608,-0.3617513817443174,0.5,-0.05177152559733421,0.1375,0.5853964571557966,-0.09479468621611034,-0.03778243098518097,0.3372718796454609,49.34,OOS Sharpe 0.65 < 1.0; 1 OOS trades < 25; deflated P(SR>0) 0.34 < 0.8 (not distinguishable from luck over 962 trials); +1-bar-lag Sharpe -0.09 — edge dies with delay,"{'window': 20, 'vol_z': 1.5, 'hold': 30}"
ensemble_vote,hybrid,TREND2,1h,False,0.5775769850390836,0.07095388239832956,-0.28220569091891157,1.2320078965343906,0.24528301886792453,53,0.18157783187142407,0.7763888888888889,1.3855795177146029,2.3001986254391458,0.75,-0.5213324009326227,0.4025,0.9332174121352795,0.5262255861191193,-0.23621171255860618,0.5000460064805826,48.0,OOS Sharpe 0.58 < 1.0; OOS maxDD 28.2% > 25%; MC p05 drawdown 52.1% > 35%; deflated P(SR>0) 0.50 < 0.8 (not distinguishable from luck over 962 trials),{'min_agree': 0.34}
regime_gated_trend,regime,TREND3,1h,False,2.198055934382137,0.704823323706435,-0.32926521235021455,1.6270528332649192,0.336283185840708,113,2.663614722189818,0.9222222222222223,2.226167922468663,1.6704463138426644,0.5,-0.5423194511526029,0.125,0.027902179292452745,2.4321033268610672,-0.2841539645658576,0.33895108157422926,47.2,OOS maxDD 32.9% > 25%; MC p05 drawdown 54.2% > 35%; param retention 0.03 < 0.3 (performance is a parameter spike); deflated P(SR>0) 0.34 < 0.8 (not distinguishable from luck over 962 trials),"{'lookback': 168, 'adx_th': 15.0}"
trend_acceleration,trend,TREND2,1h,False,1.177621480879148,0.15882104431943866,-0.22011485196894853,1.3743072216913004,0.41818181818181815,110,0.4315827534428638,0.18138888888888888,0.6829239015689664,1.0835197467695368,0.75,-0.3698429458178108,0.26,-0.10788077044867524,2.021444751594505,-0.20095812296807092,0.3737978528263576,44.68,MC p05 drawdown 37.0% > 35%; param retention -0.11 < 0.3 (performance is a parameter spike); deflated P(SR>0) 0.37 < 0.8 (not distinguishable from luck over 962 trials),"{'span': 100, 'accel_window': 10, 'er_window': 20, 'er_min': 0.4}"
sma_cross,trend,TREND2,1h,False,1.1539494494097415,0.2896186780607841,-0.391964635869277,1.3507295842042815,0.4,40,0.8572222722610916,1.0,2.668863828697851,1.6720125854678465,0.5,-0.6707896708956644,0.2725,0.6916464678215559,1.0844981931861324,-0.3483325777820807,0.4070533785521496,43.27,OOS maxDD 39.2% > 25%; MC p05 drawdown 67.1% > 35%; deflated P(SR>0) 0.41 < 0.8 (not distinguishable from luck over 962 trials),"{'fast': 20, 'slow': 100, 'allow_short': True}"
vol_exhaustion,mean_reversion,TREND1,1h,False,1.4486688667357417,0.11644007264587342,-0.11637786713019704,2.5368210342849853,0.5,6,0.3074703688510769,0.0425,0.8291626057080294,-0.2741516145786311,0.25,-0.19147246148346905,0.285,-0.851224880325801,1.2558265930027765,-0.11140002974558061,0.2748584372034757,43.24,6 OOS trades < 25; only 25% WF windows positive; param retention -0.85 < 0.3 (performance is a parameter spike); deflated P(SR>0) 0.27 < 0.8 (not distinguishable from luck over 962 trials),"{'move_window': 12, 'move_z': 2.0, 'rv_ratio': 1.25, 'hold': 24}"
vol_expansion,volatility,TREND2,1h,False,0.9354618635861807,0.016819242443079974,-0.025732537328624572,1.9369021252679293,0.6,5,0.04143308661890588,0.0038888888888888888,-0.13738755062307229,1.2952234641435465,0.5,-0.059155316307277925,0.2825,0.0,-0.7540804865533982,-0.02573253732862446,0.2776598483332164,43.12,OOS Sharpe 0.94 < 1.0; 5 OOS trades < 25; param retention 0.00 < 0.3 (performance is a parameter spike); deflated P(SR>0) 0.28 < 0.8 (not distinguishable from luck over 962 trials); +1-bar-lag Sharpe -0.75 — edge dies with delay,"{'fast': 10, 'slow': 100, 'ratio': 1.5, 'dir_lookback': 12}"
ema_cross,trend,TREND2,1h,False,0.9090303661278878,0.1841302536120013,-0.41892602005112434,1.301977272809976,0.358974358974359,39,0.5088811073337192,1.0,2.3911129878051143,1.9385154928869508,0.5,-0.6906413306598148,0.37,0.8219674193401004,0.7563085544979233,-0.34800828049784926,0.4871179917378765,42.43,OOS Sharpe 0.91 < 1.0; OOS maxDD 41.9% > 25%; OOS/IS Sharpe 0.38 < 0.4 (overfit); MC p05 drawdown 69.1% > 35%; deflated P(SR>0) 0.49 < 0.8 (not distinguishable from luck over 962 trials),"{'fast': 20, 'slow': 120, 'allow_short': True}"
breakout_volume,trend,TREND3,1h,False,0.7327549319658787,0.09561734733743754,-0.2797141929820518,1.3344315218380205,0.5185185185185185,27,0.24890710768551738,0.2625,1.9738566117840124,0.673213754039295,0.5,-0.41509460306899204,0.4225,0.5824537719788395,0.881541393121033,-0.13346138207299585,0.31106645662624866,41.53,OOS Sharpe 0.73 < 1.0; OOS maxDD 28.0% > 25%; OOS/IS Sharpe 0.37 < 0.4 (overfit); MC p05 drawdown 41.5% > 35%; deflated P(SR>0) 0.31 < 0.8 (not distinguishable from luck over 962 trials),"{'window': 80, 'vol_z': 1.0, 'hold': 30}"
regime_gated_trend,regime,TREND2,1h,False,0.6056708140586479,0.06974902400422867,-0.42643839199673705,1.1813221152231481,0.3394495412844037,109,0.1783448786378221,0.9588888888888889,1.2053372606463222,1.7217743316094187,0.75,-0.7031592889679924,0.425,0.5659668108664769,0.9506387817933075,-0.32648988331590323,0.35232707400369123,39.98,OOS Sharpe 0.61 < 1.0; OOS maxDD 42.6% > 25%; MC p05 drawdown 70.3% > 35%; deflated P(SR>0) 0.35 < 0.8 (not distinguishable from luck over 962 trials),"{'lookback': 336, 'adx_th': 15.0}"
regime_switch,regime,TREND3,1h,False,1.6342346296188224,0.42607656816069794,-0.3876384888395621,1.368370055724372,0.4246575342465753,146,1.3723848317189846,0.7911111111111111,-0.13244480002604803,0.874458285371102,0.5,-0.5441898892997219,0.215,0.0,1.4643186847275647,-0.30679679993908293,0.37971038648693756,39.87,OOS maxDD 38.8% > 25%; MC p05 drawdown 54.4% > 35%; param retention 0.00 < 0.3 (performance is a parameter spike); deflated P(SR>0) 0.38 < 0.8 (not distinguishable from luck over 962 trials),"{'lookback': 168, 'window': 50, 'entry_z': 2.0, 'adx_th': 20.0}"
donchian_breakout,trend,TREND3,1h,False,1.3055078809187342,0.32858224857728446,-0.40646391382344393,1.7000700633945234,0.5263157894736842,19,0.99677275316818,0.8811111111111111,1.2240083341084171,0.9487335712346082,0.25,-0.6033334798414757,0.3025,0.4297124986893155,1.156819154041579,-0.21476518347082274,0.37465364397863665,39.54,OOS maxDD 40.6% > 25%; 19 OOS trades < 25; only 25% WF windows positive; MC p05 drawdown 60.3% > 35%; deflated P(SR>0) 0.37 < 0.8 (not distinguishable from luck over 962 trials),"{'entry': 100, 'exit': 50, 'allow_short': True}"
orderflow_proxy,structure,TREND1,1h,False,0.9502143056441288,0.16532498222960346,-0.2984288306779853,1.3811303675472235,0.4166666666666667,36,0.45121836053605335,0.3447222222222222,0.11499150437308422,1.0859080257669278,0.75,-0.46364495011870516,0.29,-1.0,1.0267880870215462,-0.21493439677955672,0.201817256341201,38.04,OOS Sharpe 0.95 < 1.0; OOS maxDD 29.8% > 25%; MC p05 drawdown 46.4% > 35%; param retention -1.00 < 0.3 (performance is a parameter spike); deflated P(SR>0) 0.20 < 0.8 (not distinguishable from luck over 962 trials),"{'window': 40, 'entry_z': 2.0, 'exit_z': 0.25}"
coint_pair,stat_arb,TREND1+TREND2,1h,False,0.8856186167238468,0.12367715423074999,-0.21889983713251948,1.3504356802145443,0.5185185185185185,108,0.32819552919301365,0.6988888888888889,0.03634130322372202,0.07330032501676773,0.5,-0.3942207525178231,0.39,-1.0,0.6154646373509631,-0.17284806199314462,0.3001165526856385,34.49,OOS Sharpe 0.89 < 1.0; MC p05 drawdown 39.4% > 35%; param retention -1.00 < 0.3 (performance is a parameter spike); deflated P(SR>0) 0.30 < 0.8 (not distinguishable from luck over 962 trials),"{'window': 500, 'refit_every': 100, 'z_window': 200, 'entry_z': 2.0, 'exit_z': 0.5, 'stop_z': 4.0}"
donchian_breakout,trend,TREND2,1h,False,0.8996181118606374,0.18010857570291106,-0.31223082900368415,1.328738231345737,0.4827586206896552,29,0.49643806043874505,0.9877777777777778,1.9005215526231667,2.913315757189957,0.75,-0.6249446917458616,0.3475,0.20851993544283576,0.46699301181611513,-0.33307104780740227,0.16173631688609896,34.46,OOS Sharpe 0.90 < 1.0; OOS maxDD 31.2% > 25%; MC p05 drawdown 62.5% > 35%; param retention 0.21 < 0.3 (performance is a parameter spike); deflated P(SR>0) 0.16 < 0.8 (not distinguishable from luck over 962 trials),"{'entry': 55, 'exit': 50, 'allow_short': True}"
zscore_reversion,mean_reversion,TREND1,1h,False,1.1195364632256293,0.2015343151540714,-0.23685541045683112,1.4775374424380612,0.6530612244897959,49,0.5634306141921628,0.29833333333333334,1.022187026969883,0.868505240046755,0.5,-0.4676937091097413,0.27,-0.8942597071256857,0.6875813802594463,-0.21565134272792386,0.21092335680304114,33.87,MC p05 drawdown 46.8% > 35%; param retention -0.89 < 0.3 (performance is a parameter spike); deflated P(SR>0) 0.21 < 0.8 (not distinguishable from luck over 962 trials),"{'window': 50, 'entry_z': 2.5, 'exit_z': 0.5}"
trend_acceleration,trend,TREND4,1h,False,0.11413377354263893,-0.01614074831336232,-0.30397081739639054,1.1443305296218376,0.3858695652173913,184,-0.03883313290591017,0.27805555555555556,0.9218641666553564,-1.2435956406208575,0.5,-0.4606108972660343,0.545,0.6092000221177577,0.37808435033744614,-0.2306972793879788,0.3273752362417207,33.72,OOS return -1.6% ≤ 0; OOS Sharpe 0.11 < 1.0; OOS PF 1.14 < 1.15; OOS maxDD 30.4% > 25%; OOS/IS Sharpe 0.12 < 0.4 (overfit); MC p05 drawdown 46.1% > 35%; deflated P(SR>0) 0.33 < 0.8 (not distinguishable from luck over 962 trials),"{'span': 30, 'accel_window': 10, 'er_window': 20, 'er_min': 0.3}"
